Zeit;Temperatur;
08:38:43.01;27,76;
08:38:43.51;27,57;
08:38:44.01;27,76;
08:38:44.51;27,47;
08:38:45.01;27,37;
08:38:45.51;27,57;
08:38:46.01;28,64;
08:38:46.51;29,03;
08:38:47.01;25,71;
08:38:47.51;29,03;
08:38:48.01;29,03;
08:38:48.51;29,23;
08:38:49.01;28,93;
08:38:49.51;28,93;
08:38:50.01;29,03;
08:38:50.51;29,13;
08:38:51.01;29,03;
08:38:51.51;29,13;
08:38:52.01;29,13;
08:38:52.51;29,13;
08:38:53.01;29,03;
08:38:53.51;29,23;
08:38:54.01;29,23;
08:38:54.51;29,13;
08:38:55.01;28,74;
08:38:55.51;29,23;
08:38:56.01;29,33;
08:38:56.51;29,42;
08:38:57.01;29,33;
08:38:57.51;29,52;
08:38:58.01;29,81;
08:38:58.51;29,72;
08:38:59.01;29,91;
08:38:59.51;29,72;
08:39:00.01;29,81;
08:39:00.51;29,91;
08:39:01.01;30,11;
08:39:01.51;30,01;
08:39:02.01;30,01;
08:39:02.51;30,21;
08:39:03.01;30,40;
08:39:03.51;30,21;
08:39:04.01;30,40;
08:39:04.51;30,30;
08:39:05.01;30,60;
08:39:05.51;30,40;
08:39:06.01;30,40;
08:39:06.51;30,60;
08:39:07.00;30,79;
08:39:07.51;30,99;
08:39:08.01;30,60;
08:39:08.51;30,89;
08:39:09.01;30,99;
08:39:09.51;30,79;
08:39:10.01;30,99;
08:39:10.59;30,99;
08:39:11.00;31,28;
08:39:11.51;31,38;
08:39:12.00;31,38;
08:39:12.50;31,77;
08:39:13.00;31,57;
08:39:13.50;31,67;
08:39:14.00;31,77;
08:39:14.51;31,77;
08:39:15.00;31,77;
08:39:15.50;31,96;
08:39:16.00;32,45;
08:39:16.50;31,96;
08:39:17.00;32,16;
08:39:17.50;32,16;
08:39:18.00;32,55;
08:39:18.50;32,55;
08:39:19.00;32,45;
08:39:19.50;32,55;
08:39:20.00;32,55;
08:39:20.50;32,84;
08:39:21.00;32,94;
08:39:21.50;32,94;
08:39:22.00;32,94;
08:39:22.50;32,94;
08:39:23.00;33,24;
08:39:23.50;33,24;
08:39:24.00;33,33;
08:39:24.50;33,33;
08:39:25.00;33,33;
08:39:25.50;33,33;
08:39:26.00;33,72;
08:39:26.50;33,33;
08:39:27.00;34,12;
08:39:27.50;34,12;
08:39:28.00;34,02;
08:39:28.50;34,02;
08:39:29.00;33,33;
08:39:29.50;34,12;
08:39:30.00;34,12;
08:39:30.50;34,12;
08:39:31.00;34,12;
08:39:31.50;34,12;
08:39:32.00;34,31;
08:39:32.50;34,12;
08:39:33.00;34,80;
08:39:33.50;34,90;
08:39:34.00;34,90;
08:39:34.50;34,90;
08:39:35.00;34,90;
08:39:35.50;34,90;
08:39:36.00;34,90;
08:39:36.50;35,09;
08:39:37.00;34,90;
08:39:37.50;35,09;
08:39:38.00;35,68;
08:39:38.50;35,68;
08:39:39.00;35,68;
08:39:39.50;35,97;
08:39:40.00;36,07;
08:39:40.50;36,07;
08:39:41.00;36,07;
08:39:41.50;36,36;
08:39:42.00;36,36;
08:39:42.50;36,07;
08:39:43.00;36,36;
08:39:43.50;36,07;
08:39:44.00;36,46;
08:39:44.50;36,66;
08:39:45.00;36,66;
08:39:45.50;36,66;
08:39:46.00;37,24;
08:39:46.50;37,24;
08:39:47.00;36,46;
08:39:47.50;37,15;
08:39:48.00;37,24;
08:39:48.50;37,24;
08:39:49.00;37,24;
08:39:49.50;37,63;
08:39:50.00;37,44;
08:39:50.50;37,63;
08:39:51.00;37,24;
08:39:51.50;38,03;
08:39:52.00;37,93;
08:39:52.50;38,03;
08:39:53.00;38,03;
08:39:53.50;38,03;
08:39:54.00;38,03;
08:39:54.50;38,22;
08:39:55.00;38,42;
08:39:55.50;38,22;
08:39:56.00;38,42;
08:39:56.50;39,10;
08:39:57.00;38,81;
08:39:57.50;38,81;
08:39:58.00;39,20;
08:39:58.50;39,20;
08:39:59.00;39,20;
08:39:59.50;39,59;
08:40:00.00;39,20;
08:40:00.50;39,59;
08:40:01.00;39,49;
08:40:01.50;39,59;
08:40:02.00;39,59;
08:40:02.50;39,20;
08:40:03.00;39,59;
08:40:03.50;39,78;
08:40:04.00;39,78;
08:40:04.50;39,78;
08:40:05.00;39,78;
08:40:05.50;40,27;
08:40:06.00;39,98;
08:40:06.50;40,37;
08:40:07.00;40,37;
08:40:07.50;40,76;
08:40:08.00;40,37;
08:40:08.50;40,76;
08:40:09.00;40,76;
08:40:09.50;40,76;
08:40:10.00;41,15;
08:40:10.50;41,15;
08:40:11.00;41,06;
08:40:11.50;41,15;
08:40:12.00;41,15;
08:40:12.50;41,15;
08:40:13.00;41,15;
08:40:13.50;41,35;
08:40:14.00;41,35;
08:40:14.50;41,35;
08:40:15.00;41,35;
08:40:15.50;41,35;
08:40:16.00;42,23;
08:40:16.50;42,23;
08:40:17.00;41,94;
08:40:17.50;42,23;
08:40:18.00;41,94;
08:40:18.50;42,33;
08:40:19.00;42,33;
08:40:19.50;42,33;
08:40:20.00;42,62;
08:40:20.50;42,33;
08:40:21.00;42,72;
08:40:21.50;42,72;
08:40:22.00;42,33;
08:40:22.50;42,72;
08:40:23.00;42,91;
08:40:23.50;42,91;
08:40:24.00;42,91;
08:40:24.50;43,11;
08:40:25.00;42,91;
08:40:25.50;43,11;
08:40:26.00;43,11;
08:40:26.50;43,50;
08:40:27.00;43,50;
08:40:27.50;43,50;
08:40:28.00;43,50;
08:40:28.50;43,79;
08:40:29.00;43,79;
08:40:29.50;43,89;
08:40:30.00;43,50;
08:40:30.50;43,89;
08:40:31.00;44,28;
08:40:31.50;44,48;
08:40:32.00;44,09;
08:40:32.50;44,28;
08:40:33.00;44,48;
08:40:33.50;44,28;
08:40:34.00;44,28;
08:40:34.50;44,28;
08:40:35.00;44,48;
08:40:35.50;44,87;
08:40:36.00;44,48;
08:40:36.50;44,67;
08:40:37.00;44,28;
08:40:37.50;44,67;
08:40:38.00;45,06;
08:40:38.50;45,06;
08:40:39.00;44,97;
08:40:39.50;45,06;
08:40:40.00;45,06;
08:40:40.50;44,67;
08:40:41.00;45,45;
08:40:41.50;45,45;
08:40:42.00;45,45;
08:40:42.50;45,65;
08:40:43.00;45,65;
08:40:43.50;45,75;
08:40:44.00;45,85;
08:40:44.50;45,85;
08:40:45.00;45,85;
08:40:45.50;46,04;
08:40:46.00;46,24;
08:40:46.50;45,65;
08:40:47.00;46,24;
08:40:47.50;46,24;
08:40:48.00;46,24;
08:40:48.50;46,43;
08:40:49.00;46,24;
08:40:49.50;46,63;
08:40:50.00;46,63;
08:40:50.50;46,92;
08:40:51.00;46,92;
08:40:51.50;47,12;
08:40:52.00;47,31;
08:40:52.50;47,21;
08:40:53.00;46,63;
08:40:53.50;47,12;
08:40:54.00;47,21;
08:40:54.50;47,21;
08:40:55.00;47,41;
08:40:55.50;47,61;
08:40:56.00;47,41;
08:40:56.50;47,41;
08:40:57.00;47,61;
08:40:57.50;47,80;
08:40:57.99;47,80;
08:40:58.50;47,80;
08:40:59.00;47,80;
08:40:59.50;47,80;
08:41:00.00;48,09;
08:41:00.50;48,00;
08:41:00.99;48,09;
08:41:01.50;48,19;
08:41:02.00;48,48;
08:41:02.50;48,19;
